,ID,survey,fish,isolation,depth,conductivity,ph,do,turbidity,clorophylla_a,phycocyanin,canopy
41,C1,2,present,480,35.625,11.8,7.6,9.25,85.7,45.12333333,5.303,0
42,C2,2,absent,480,32.875,16.1,6.99,7.1,66.8,18.43,3.866666667,0
43,C3,2,absent,480,35.625,17.2,7.06,6.45,24.4,15.91133333,1.630666667,1
44,C4,2,present,480,39.75,27.5,7.2,5.06,16.2,4.164333333,1.207666667,0
45,C5,2,absent,480,42.75,32.1,7.07,5.87,9.87,6.292333333,0.910666667,0.25
46,C6,2,absent,480,40.125,17.2,7.01,5.8,21.9,16.16666667,1.609,1.25
47,C7,2,present,480,38.375,23.7,7.4,5.7,73.4,43.52666667,4.346,0
48,C8,2,present,480,42.625,27.4,7.89,5.2,32.3,14.14666667,2.122666667,0
49,A1,3,present,30,36.25,12.2,6.15,5.94,12.4,8.303333333,1.468333333,1.25
50,A2,3,present,30,25.625,16.7,6.58,7.86,30.3,14.25,1.77,0
51,A3,3,absent,30,25.5,11.2,7.75,8.83,9.8,27.97,1.420333333,0.25
53,A5,3,absent,30,26.875,7.5,7.65,8.4,8.51,18.62333333,1.098,1.25
54,A6,3,absent,30,36.875,18.2,7.85,8.47,7.44,25.48666667,1.139333333,1.25
55,A7,3,present,30,30.5,11.5,7.81,7.23,104,24.41,5.656,0.75
56,A8,3,absent,30,30.25,19.5,8.4,9.71,22.1,59.75333333,2.714,1.5
57,B1,3,absent,120,34.625,25.4,6.38,4.09,45.5,111.2,4.648666667,1
58,B2,3,absent,120,43.125,5.1,6.33,5.49,29.9,39.975,2.5335,0.5
60,B4,3,present,120,31,7.7,8,9.01,89.6,142.7666667,8.597666667,0.25
61,B5,3,absent,120,39.5,7.8,7.72,5.57,17.8,9.644,1.352,0.75
62,B6,3,present,120,36.375,17.4,8.92,7.93,71.3,39.47333333,4.585333333,1.25
63,B7,3,absent,120,34.75,22.3,7.75,9.65,25.7,33.38666667,1.527333333,1.25
64,B8,3,present,120,34.625,20.2,8.58,9.38,34.4,49.51333333,2.968333333,4.25
65,C1,3,present,480,19.5,13.4,6.25,3.4,176,134.8333333,11.56333333,0
66,C2,3,absent,480,27.375,16.1,6.83,5.52,76.9,222.6333333,9.259333333,0
69,C5,3,absent,480,43.75,8.6,7.2,6.48,21.3,4.733666667,1.306,0.25
70,C6,3,absent,480,42,4.6,7.16,6.22,28.3,9.820666667,1.672333333,1.25
71,C7,3,present,480,46.25,8.3,7.36,6.7,40.1,21.49,2.359666667,0
72,C8,3,present,480,43.5,10.9,7.27,5.53,58,11.22266667,2.918333333,0
